	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV126	unknown	unknown	unknown	unknown	unknown
ASV127	unknown	unknown	unknown	unknown	unknown
ASV128	unknown	unknown	unknown	unknown	unknown
ASV129	yes	anaerobe	unknown	unknown	unknown
ASV130	unknown	unknown	unknown	unknown	unknown
ASV131	unknown	unknown	unknown	unknown	unknown
ASV132	unknown	unknown	unknown	unknown	unknown
ASV133	unknown	unknown	unknown	unknown	unknown
ASV134	unknown	unknown	unknown	unknown	unknown
ASV135	unknown	unknown	unknown	unknown	unknown
ASV136	yes	unknown	unknown	unknown	unknown
ASV137	unknown	unknown	unknown	unknown	unknown
ASV138	unknown	unknown	unknown	unknown	unknown
ASV139	yes	unknown	unknown	unknown	unknown
ASV140	yes	anaerobe	unknown	unknown	unknown
ASV141	unknown	unknown	unknown	unknown	unknown
ASV142	unknown	unknown	unknown	unknown	unknown
ASV143	unknown	unknown	unknown	unknown	unknown
ASV144	unknown	unknown	unknown	unknown	unknown
ASV145	yes	anaerobe	unknown	unknown	unknown
ASV146	unknown	unknown	unknown	unknown	unknown
ASV147	unknown	unknown	unknown	unknown	unknown
ASV148	unknown	unknown	unknown	unknown	unknown
ASV149	yes	anaerobe	unknown	unknown	unknown
ASV150	yes	unknown	negative	unknown	no
ASV151	unknown	unknown	unknown	unknown	unknown
ASV152	unknown	unknown	unknown	unknown	unknown
ASV153	unknown	unknown	unknown	unknown	unknown
ASV154	unknown	unknown	unknown	unknown	unknown
ASV155	unknown	unknown	unknown	unknown	unknown
ASV156	unknown	unknown	unknown	unknown	unknown
ASV157	unknown	unknown	unknown	unknown	unknown
ASV158	unknown	unknown	unknown	unknown	unknown
ASV159	unknown	unknown	unknown	unknown	unknown
ASV160	yes	mixed	unknown	unknown	unknown
ASV161	unknown	unknown	unknown	unknown	unknown
ASV162	unknown	unknown	unknown	unknown	unknown
ASV163	unknown	unknown	unknown	unknown	unknown
ASV164	yes	anaerobe	unknown	unknown	unknown
ASV165	unknown	unknown	unknown	unknown	unknown
ASV166	unknown	unknown	unknown	unknown	unknown
ASV167	unknown	unknown	unknown	unknown	unknown
ASV168	unknown	unknown	unknown	unknown	unknown
ASV169	unknown	unknown	unknown	unknown	unknown
ASV170	unknown	unknown	unknown	unknown	unknown
ASV171	unknown	unknown	unknown	unknown	unknown
ASV172	unknown	unknown	unknown	unknown	unknown
ASV173	unknown	unknown	unknown	unknown	unknown
ASV174	yes	unknown	negative	unknown	no
ASV175	unknown	unknown	unknown	unknown	unknown
ASV176	unknown	unknown	unknown	unknown	unknown
ASV177	unknown	unknown	unknown	unknown	unknown
ASV178	unknown	unknown	unknown	unknown	unknown
ASV179	unknown	unknown	unknown	unknown	unknown
ASV180	unknown	unknown	unknown	unknown	unknown
ASV181	unknown	unknown	unknown	unknown	unknown
ASV182	yes	anaerobe	unknown	unknown	unknown
ASV183	yes	anaerobe	unknown	unknown	unknown
ASV184	yes	unknown	unknown	unknown	unknown
ASV185	no	unknown	unknown	unknown	unknown
ASV186	unknown	unknown	unknown	unknown	unknown
ASV187	unknown	unknown	unknown	unknown	unknown
ASV188	yes	anaerobe	unknown	unknown	unknown
ASV189	unknown	unknown	unknown	unknown	unknown
ASV190	unknown	unknown	unknown	unknown	unknown
ASV191	unknown	unknown	unknown	unknown	unknown
ASV192	yes	unknown	negative	unknown	no
ASV193	yes	unknown	unknown	unknown	unknown
ASV194	unknown	unknown	unknown	unknown	unknown
ASV195	yes	anaerobe	unknown	unknown	unknown
ASV196	yes	anaerobe	unknown	unknown	unknown
ASV197	unknown	unknown	unknown	unknown	unknown
ASV198	unknown	unknown	unknown	unknown	unknown
ASV199	unknown	unknown	unknown	unknown	unknown
ASV200	unknown	unknown	unknown	unknown	unknown
ASV201	yes	anaerobe	unknown	unknown	unknown
ASV202	unknown	unknown	unknown	unknown	unknown
ASV203	unknown	unknown	unknown	unknown	unknown
ASV204	yes	anaerobe	unknown	unknown	unknown
ASV205	yes	anaerobe	unknown	unknown	unknown
ASV206	unknown	unknown	unknown	unknown	unknown
ASV207	unknown	unknown	unknown	unknown	unknown
ASV208	no	unknown	unknown	unknown	unknown
