	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV209	unknown	unknown	unknown	unknown	unknown
ASV210	unknown	unknown	unknown	unknown	unknown
ASV211	yes	anaerobe	unknown	unknown	unknown
ASV212	unknown	unknown	unknown	unknown	unknown
ASV213	unknown	unknown	unknown	unknown	unknown
ASV214	unknown	unknown	unknown	unknown	unknown
ASV215	unknown	unknown	unknown	unknown	unknown
ASV216	unknown	unknown	unknown	unknown	unknown
ASV217	unknown	unknown	unknown	unknown	unknown
ASV218	unknown	unknown	unknown	unknown	unknown
ASV219	unknown	unknown	unknown	unknown	unknown
ASV220	no	unknown	unknown	unknown	unknown
ASV221	unknown	unknown	unknown	unknown	unknown
ASV222	unknown	unknown	unknown	unknown	unknown
ASV223	unknown	unknown	unknown	unknown	unknown
ASV224	unknown	unknown	unknown	unknown	unknown
ASV225	unknown	unknown	unknown	unknown	unknown
ASV226	unknown	unknown	unknown	unknown	unknown
ASV227	unknown	unknown	unknown	unknown	unknown
ASV228	unknown	unknown	unknown	unknown	unknown
ASV229	yes	anaerobe	unknown	unknown	unknown
ASV230	unknown	unknown	unknown	unknown	unknown
ASV231	unknown	unknown	unknown	unknown	unknown
ASV232	unknown	unknown	unknown	unknown	unknown
ASV233	unknown	unknown	unknown	unknown	unknown
ASV234	unknown	unknown	unknown	unknown	unknown
ASV235	unknown	unknown	unknown	unknown	unknown
ASV236	unknown	unknown	unknown	unknown	unknown
ASV237	unknown	unknown	unknown	unknown	unknown
ASV238	unknown	unknown	unknown	unknown	unknown
ASV239	unknown	unknown	unknown	unknown	unknown
ASV240	unknown	unknown	unknown	unknown	unknown
ASV241	unknown	unknown	unknown	unknown	unknown
ASV242	yes	anaerobe	negative	unknown	no
ASV243	yes	anaerobe	negative	unknown	no
ASV244	unknown	unknown	unknown	unknown	unknown
ASV245	yes	unknown	unknown	unknown	unknown
ASV246	unknown	unknown	unknown	unknown	unknown
ASV247	unknown	unknown	unknown	unknown	unknown
ASV248	yes	unknown	negative	unknown	no
ASV249	unknown	unknown	unknown	unknown	unknown
ASV250	yes	anaerobe	negative	unknown	no
ASV251	yes	anaerobe	unknown	unknown	unknown
ASV252	yes	anaerobe	unknown	unknown	unknown
ASV253	unknown	unknown	unknown	unknown	unknown
ASV254	unknown	unknown	unknown	unknown	unknown
ASV255	unknown	unknown	unknown	unknown	unknown
ASV256	unknown	unknown	unknown	unknown	unknown
ASV257	unknown	unknown	unknown	unknown	unknown
ASV258	unknown	unknown	unknown	unknown	unknown
ASV259	yes	unknown	unknown	unknown	unknown
ASV260	yes	anaerobe	unknown	unknown	unknown
ASV261	unknown	unknown	unknown	unknown	unknown
ASV262	unknown	unknown	unknown	unknown	unknown
ASV263	unknown	unknown	unknown	unknown	unknown
ASV264	unknown	unknown	unknown	unknown	unknown
ASV265	unknown	unknown	unknown	unknown	unknown
ASV266	unknown	unknown	unknown	unknown	unknown
ASV267	unknown	unknown	unknown	unknown	unknown
ASV268	unknown	unknown	unknown	unknown	unknown
ASV269	unknown	unknown	unknown	unknown	unknown
ASV270	unknown	unknown	unknown	unknown	unknown
ASV271	unknown	unknown	unknown	unknown	unknown
ASV272	unknown	unknown	unknown	unknown	unknown
ASV273	unknown	unknown	unknown	unknown	unknown
ASV274	unknown	unknown	unknown	unknown	unknown
ASV275	unknown	unknown	unknown	unknown	unknown
ASV276	unknown	unknown	unknown	unknown	unknown
ASV277	unknown	unknown	unknown	unknown	unknown
ASV278	unknown	unknown	unknown	unknown	unknown
ASV279	unknown	unknown	unknown	unknown	unknown
ASV280	unknown	unknown	unknown	unknown	unknown
ASV281	unknown	unknown	unknown	unknown	unknown
ASV282	yes	unknown	negative	unknown	no
ASV283	unknown	unknown	unknown	unknown	unknown
ASV284	unknown	unknown	unknown	unknown	unknown
ASV285	unknown	unknown	unknown	unknown	unknown
ASV286	unknown	unknown	unknown	unknown	unknown
ASV287	unknown	unknown	unknown	unknown	unknown
ASV288	unknown	unknown	unknown	unknown	unknown
ASV289	unknown	unknown	unknown	unknown	unknown
ASV290	unknown	unknown	unknown	unknown	unknown
ASV291	unknown	unknown	unknown	unknown	unknown
ASV292	unknown	unknown	unknown	unknown	unknown
ASV293	unknown	unknown	unknown	unknown	unknown
ASV294	unknown	unknown	unknown	unknown	unknown
ASV295	unknown	unknown	unknown	unknown	unknown
ASV296	unknown	unknown	unknown	unknown	unknown
ASV297	unknown	unknown	unknown	unknown	unknown
ASV298	unknown	unknown	unknown	unknown	unknown
ASV299	unknown	unknown	unknown	unknown	unknown
ASV300	yes	unknown	unknown	unknown	unknown
ASV301	unknown	unknown	unknown	unknown	unknown
ASV302	unknown	unknown	unknown	unknown	unknown
ASV303	unknown	unknown	unknown	unknown	unknown
ASV304	unknown	unknown	unknown	unknown	unknown
ASV305	unknown	unknown	unknown	unknown	unknown
ASV306	unknown	unknown	unknown	unknown	unknown
ASV307	unknown	unknown	unknown	unknown	unknown
ASV308	unknown	unknown	unknown	unknown	unknown
ASV309	unknown	unknown	unknown	unknown	unknown
ASV310	unknown	unknown	unknown	unknown	unknown
ASV311	unknown	unknown	unknown	unknown	unknown
ASV312	unknown	unknown	unknown	unknown	unknown
ASV313	unknown	unknown	unknown	unknown	unknown
ASV314	unknown	unknown	unknown	unknown	unknown
ASV315	yes	unknown	unknown	unknown	unknown
ASV316	unknown	unknown	unknown	unknown	unknown
ASV317	unknown	unknown	unknown	unknown	unknown
ASV318	yes	anaerobe	unknown	unknown	unknown
ASV319	unknown	unknown	unknown	unknown	unknown
ASV320	yes	anaerobe	unknown	unknown	unknown
ASV321	unknown	unknown	unknown	unknown	unknown
ASV322	unknown	unknown	unknown	unknown	unknown
ASV323	unknown	unknown	unknown	unknown	unknown
ASV324	unknown	unknown	unknown	unknown	unknown
ASV325	unknown	unknown	unknown	unknown	unknown
ASV326	no	unknown	unknown	unknown	unknown
ASV327	unknown	unknown	unknown	unknown	unknown
ASV328	unknown	unknown	unknown	unknown	unknown
ASV329	unknown	unknown	unknown	unknown	unknown
ASV330	unknown	unknown	unknown	unknown	unknown
ASV331	unknown	unknown	unknown	unknown	unknown
ASV332	unknown	unknown	unknown	unknown	unknown
ASV333	unknown	unknown	unknown	unknown	unknown
ASV334	unknown	unknown	unknown	unknown	unknown
ASV335	unknown	unknown	unknown	unknown	unknown
ASV336	unknown	unknown	unknown	unknown	unknown
ASV337	unknown	unknown	unknown	unknown	unknown
ASV338	unknown	unknown	unknown	unknown	unknown
ASV339	unknown	unknown	unknown	unknown	unknown
ASV340	unknown	unknown	unknown	unknown	unknown
ASV341	unknown	unknown	unknown	unknown	unknown
ASV342	unknown	unknown	unknown	unknown	unknown
ASV343	unknown	unknown	unknown	unknown	unknown
ASV344	unknown	unknown	unknown	unknown	unknown
ASV345	unknown	unknown	unknown	unknown	unknown
ASV346	unknown	unknown	unknown	unknown	unknown
ASV347	unknown	unknown	unknown	unknown	unknown
ASV348	unknown	unknown	unknown	unknown	unknown
ASV349	unknown	unknown	unknown	unknown	unknown
ASV350	unknown	unknown	unknown	unknown	unknown
ASV351	unknown	unknown	unknown	unknown	unknown
ASV352	unknown	unknown	unknown	unknown	unknown
ASV353	unknown	unknown	unknown	unknown	unknown
ASV354	unknown	unknown	unknown	unknown	unknown
ASV355	yes	unknown	negative	unknown	no
ASV356	unknown	unknown	unknown	unknown	unknown
ASV357	unknown	unknown	unknown	unknown	unknown
